	Open	High	Low	Close	Volume	TradingDate	Code
2448	6180.0	6250.0	6080.0	6210.0	120130	2017-11-09	LSS
2449	6150.0	6630.0	6150.0	6630.0	538330	2017-11-10	LSS
2450	6650.0	6930.0	6650.0	6780.0	369110	2017-11-13	LSS
2451	6890.0	7230.0	6890.0	7230.0	492450	2017-11-14	LSS
2452	7330.0	7710.0	7260.0	7710.0	384670	2017-11-15	LSS
2453	7810.0	7840.0	7430.0	7500.0	247890	2017-11-16	LSS
2454	7470.0	7540.0	7370.0	7500.0	277560	2017-11-17	LSS
2455	7470.0	7540.0	7430.0	7500.0	266500	2017-11-20	LSS
2456	7470.0	7500.0	7230.0	7260.0	436040	2017-11-21	LSS
2457	7260.0	7330.0	7130.0	7330.0	227780	2017-11-22	LSS
2458	7330.0	7430.0	7260.0	7430.0	196020	2017-11-23	LSS
2459	7470.0	7540.0	7400.0	7540.0	219840	2017-11-24	LSS
2460	7470.0	7710.0	7470.0	7540.0	236560	2017-11-27	LSS
2461	7600.0	7600.0	7400.0	7400.0	251410	2017-11-28	LSS
2462	7470.0	7540.0	7400.0	7400.0	214710	2017-11-29	LSS
2463	7470.0	7570.0	7470.0	7470.0	137030	2017-11-30	LSS
2464	7470.0	7640.0	7470.0	7640.0	132580	2017-12-01	LSS
2465	7640.0	7640.0	7540.0	7540.0	52060	2017-12-04	LSS
2466	7500.0	8010.0	7470.0	7840.0	330620	2017-12-05	LSS
2467	7880.0	7910.0	7670.0	7810.0	144620	2017-12-06	LSS
2468	7810.0	7880.0	7740.0	7770.0	93090	2017-12-07	LSS
2469	7710.0	7770.0	7600.0	7600.0	244910	2017-12-08	LSS
2470	7600.0	7640.0	7470.0	7540.0	289140	2017-12-11	LSS
2471	7430.0	7670.0	7330.0	7540.0	342330	2017-12-12	LSS
2472	7540.0	7670.0	7430.0	7430.0	141500	2017-12-13	LSS
2473	7430.0	7670.0	7430.0	7570.0	83730	2017-12-14	LSS
2474	7540.0	7670.0	7540.0	7670.0	76580	2017-12-15	LSS
2475	7670.0	7770.0	7640.0	7770.0	263010	2017-12-18	LSS
2476	7810.0	7880.0	7600.0	7740.0	85000	2017-12-19	LSS
2477	7540.0	7740.0	7540.0	7670.0	77120	2017-12-20	LSS
2478	7600.0	7770.0	7570.0	7570.0	175290	2017-12-21	LSS
2479	7570.0	7770.0	7570.0	7740.0	133550	2017-12-22	LSS
2480	7770.0	7770.0	7600.0	7600.0	79140	2017-12-25	LSS
2481	7670.0	7670.0	7570.0	7570.0	78420	2017-12-26	LSS
2482	7600.0	7670.0	7570.0	7600.0	117570	2017-12-27	LSS
2483	7600.0	7710.0	7570.0	7670.0	142850	2017-12-28	LSS
2484	7600.0	7670.0	7600.0	7640.0	102970	2017-12-29	LSS
2485	7600.0	7740.0	7600.0	7640.0	136770	2018-01-02	LSS
2486	7670.0	7670.0	7570.0	7600.0	140390	2018-01-03	LSS
2487	7600.0	7670.0	7570.0	7670.0	112700	2018-01-04	LSS
2488	7570.0	7640.0	7500.0	7640.0	254530	2018-01-05	LSS
2489	7670.0	7710.0	7600.0	7670.0	247210	2018-01-08	LSS
2490	7740.0	8180.0	7740.0	8180.0	796180	2018-01-09	LSS
2491	8550.0	8620.0	8350.0	8420.0	420940	2018-01-10	LSS
2492	8420.0	8490.0	8180.0	8420.0	392330	2018-01-11	LSS
2493	8280.0	8420.0	8080.0	8080.0	278090	2018-01-12	LSS
2494	7940.0	8010.0	7770.0	7770.0	319550	2018-01-15	LSS
2495	7880.0	7880.0	7640.0	7670.0	142040	2018-01-16	LSS
2496	7740.0	7740.0	7670.0	7670.0	255710	2018-01-17	LSS
2497	7640.0	7670.0	7570.0	7600.0	178880	2018-01-18	LSS
2498	7810.0	7810.0	7670.0	7710.0	119950	2018-01-19	LSS
2499	7910.0	7910.0	7600.0	7670.0	416420	2018-01-22	LSS
2500	7670.0	7670.0	7670.0	7670.0	0	2018-01-23	LSS
2501	7670.0	7670.0	7670.0	7670.0	0	2018-01-24	LSS
2502	7670.0	7670.0	7570.0	7600.0	345890	2018-01-25	LSS
2503	7600.0	7640.0	7570.0	7640.0	150100	2018-01-26	LSS
2504	7670.0	7670.0	7500.0	7640.0	338990	2018-01-29	LSS
2505	7570.0	7640.0	7540.0	7640.0	127560	2018-01-30	LSS
2506	7470.0	7540.0	7230.0	7230.0	363920	2018-01-31	LSS
2507	6930.0	7230.0	6890.0	7060.0	184340	2018-02-01	LSS
2508	7200.0	7400.0	7130.0	7130.0	87530	2018-02-02	LSS
2509	7370.0	7370.0	7130.0	7260.0	411540	2018-02-05	LSS
2510	6770.0	7260.0	6770.0	7260.0	465110	2018-02-06	LSS
2511	7260.0	7300.0	7060.0	7300.0	315330	2018-02-07	LSS
2512	7470.0	7470.0	7260.0	7430.0	59500	2018-02-08	LSS
2513	7130.0	7330.0	7130.0	7130.0	116720	2018-02-09	LSS
2514	7160.0	7400.0	6990.0	7260.0	97260	2018-02-12	LSS
2515	7430.0	7430.0	7260.0	7330.0	16630	2018-02-13	LSS
2516	7160.0	7370.0	7160.0	7370.0	22900	2018-02-21	LSS
2517	7470.0	7470.0	7260.0	7400.0	29420	2018-02-22	LSS
2518	7200.0	7230.0	7090.0	7200.0	127410	2018-02-23	LSS
2519	7200.0	7200.0	6930.0	7130.0	115730	2018-02-26	LSS
2520	7060.0	7200.0	6990.0	7060.0	22500	2018-02-27	LSS
2521	6990.0	7060.0	6790.0	6790.0	108800	2018-02-28	LSS
2522	6450.0	6860.0	6450.0	6790.0	53690	2018-03-01	LSS
2523	6790.0	6990.0	6650.0	6930.0	40260	2018-03-02	LSS
2524	6860.0	6890.0	6790.0	6790.0	57510	2018-03-05	LSS
2525	6760.0	6760.0	6520.0	6720.0	308150	2018-03-06	LSS
2526	6710.0	6710.0	6520.0	6650.0	16660	2018-03-07	LSS
2527	6650.0	6720.0	6590.0	6700.0	12710	2018-03-08	LSS
2528	6590.0	6780.0	6590.0	6720.0	20140	2018-03-09	LSS
2529	6720.0	6720.0	6590.0	6690.0	31790	2018-03-12	LSS
2530	6670.0	6700.0	6650.0	6680.0	7950	2018-03-13	LSS
2531	6710.0	6710.0	6540.0	6630.0	26230	2018-03-14	LSS
2532	6650.0	6650.0	6520.0	6550.0	61850	2018-03-15	LSS
2533	6620.0	6620.0	6450.0	6550.0	74280	2018-03-16	LSS
2534	6570.0	6570.0	6380.0	6480.0	74840	2018-03-19	LSS
2535	6540.0	6540.0	6250.0	6420.0	102120	2018-03-20	LSS
2536	6420.0	6420.0	6180.0	6230.0	197610	2018-03-21	LSS
2537	6230.0	6420.0	6190.0	6190.0	206140	2018-03-22	LSS
2538	6190.0	6300.0	6110.0	6290.0	76670	2018-03-23	LSS
2539	6380.0	6380.0	6250.0	6290.0	65870	2018-03-26	LSS
2540	6380.0	6380.0	6250.0	6250.0	41300	2018-03-27	LSS
2541	6250.0	6370.0	6190.0	6210.0	9850	2018-03-28	LSS
2542	6210.0	6240.0	6190.0	6210.0	50200	2018-03-29	LSS
2543	6190.0	6290.0	6140.0	6150.0	18730	2018-03-30	LSS
2544	6130.0	6310.0	6040.0	6140.0	71060	2018-04-02	LSS
2545	6040.0	6160.0	5950.0	6160.0	72330	2018-04-03	LSS
2546	6300.0	6300.0	5930.0	6110.0	224670	2018-04-04	LSS
2547	6140.0	6150.0	5970.0	6150.0	58550	2018-04-05	LSS
2548	6150.0	6160.0	6040.0	6110.0	135910	2018-04-06	LSS
2549	6010.0	6140.0	5990.0	6120.0	169540	2018-04-09	LSS
2550	6120.0	6150.0	6040.0	6140.0	89180	2018-04-10	LSS
2551	6140.0	6180.0	6110.0	6120.0	76350	2018-04-11	LSS
2552	6140.0	6280.0	6110.0	6280.0	30760	2018-04-12	LSS
2553	6370.0	6690.0	6350.0	6520.0	77060	2018-04-13	LSS
